gid,name,obs_1751_1850
1,St. Johns,1
2,Ogeechee,1
3,Altamaha,1
4,Merrimack,1
5,Potomac,1
6,Penobscot,1
7,Neuse,1
8,Cape Fear,1
9,Roanoke,1
10,Savannah,1
11,Santee,1
12,James,1
13,Susquehanna,1
14,Delaware,1
15,Connecticut,1
16,Kennebec,1
17,Nonesuch,1
18,Sakonnet,1
19,Blackstone-Providence,1
20,Paskamanset,1
21,Farm,1
22,Hammonasset,1
23,Menunketesuck,1
24,Nissequogue,1
25,Shark,1
26,Manasquan,1
27,Metedeconk,1
28,Mullica,1
29,Pleasant,1
30,Sheepscot,1
31,Palmer,1
32,Taunton,1
33,Wicomico,1
34,Transquaking,1
35,Blackwater,1
36,Pawcatuck,1
37,Alligator,1
38,Satilla,1
39,White Oak,1
40,Perquimmans,1
41,Pasquotank,1
42,New,1
43,Thames,1
44,Hudson,1
45,Rappahannock,1
46,York,1
47,Chowan,1
48,Pamlico-Tar,1
49,Pee Dee,1
50,Edisto,1
51,Nanticoke,1
52,Choptank,1
53,Chester-Sassafras,1
54,Patuxent,1
55,St. Marys,1
56,Nassau,1
57,Housatonic,1
58,Pokomoke-Western Lower Delmarva,1
59,Coosawatchie,1
60,Salkehatchie,1
61,Cooper,1
62,Raritan,1
63,Saco,1
64,Miramichi,1
65,Petitcodiac,1
66,St John,1
67,St. Croix,1
68,Restigouche,1
69,LaHave,1
70,Margaree,1
71,Shubenacadie,1
72,John,1
73,St Mary's,1
74,Musquodoboit,1
75,Medway,1
76,Annapolis,1
77,Avon,1
78,Maccan-Hebert-LaPlanche,1
79,Kennetcook,1
80,Tusket,1
81,Mersey,1
82,Cornwallis,1
83,Mira,1
84,St Lawrence,1
85,Waccasassa,0
86,Withlacoochee,0
87,Myakka,0
88,Hillsborough,0
89,Alafia,0
90,Little Manatee,0
91,Manatee,0
92,Loxahatchee,0
93,Pearl,0
94,Escambia,0
95,Choctawhatchee,0
96,Peace,0
97,Ecofina River,0
98,Aucilla,0
99,Ochlockonee,0
100,Richibucto,1
101,Philip,1
102,Gander,0
103,St Marguerite,0
104,Natashquan,0
105,Churchill,0
106,Manicouagan,0
107,George,0
108,Exploits,0
109,Humber,0
110,Romaine,0
111,Kanairiktok,0
112,Eagle,0
